Username,Rating,Ulasan
Ifan Effendi,5 bintang,"Taman rekreasi keluarga yang menyenangkan. Crowded memang, tapi tetap bisa dinikmati dengan baik. Bisa direkomendasikan untuj perjalanan yanv ingin menikmati suasana alam rindang dan nggak panas, meski terbuka."
Dwi S N,5 bintang,"Bonbin sudah jauh lebih baik dibandingkan terakhir mengunjungi 8tahun lalu. Begitu banyak perubahan positif. Akan tetapi, beberapa hal yang perlu menjadi pertimbangan. Dengan tiket masuk yang merakyat alangkah baiknya tarif untuk berfoto dan naik satwa (Gajah dan Unta) diturunkan atau mungkin dijual dengan paket. Sistem antriannya pun perlu lebih diperbaiki lagi."
Dimas Mboqe,4 bintang,"Kebun binatang yg lumayan lengkap koleksi satwanya
Tempatnya teduh dengan pepohonan yg rindang
Lumayan bersih dan semoga bisa ditingkatkan lagi
Tiket masuk murah cuma makanan didalam lokasi harganya agak mahal
Semoga satwanya selalu sehat"
stefani sora,5 bintang,"Kebun binatang Surabaya sekarang sudah jauh lebih baik dalam hal kebersihan dll, dan juga skrg banyak spot2 foto yg seru. Tiket msk 15 ribu murah meriah"
Vrila,5 bintang,"Kebun binatang yg terletak di daerah Wonokromo, dekat stasiun juga terminal. Kemarin pas parkir kita gk dapat tempat alias full,jd kita diarahkan parkir di terminal Joyoboyo. Untuk pembelian tiket bisa di terminal Joyoboyo,juga bisa di loket langsung dg pembayaran non tunai. Perorang dikenakan tiket Rp 15.000,anak tinggi 85cm bayar full."
Elsa Dahlia Silitonga,5 bintang,"Hai kalian pecinta hewan dan juga si paling suka eksplore alam. Ini tempat paling keren deh apalagi kalo rumahnya ada di surabaya, harga tiket masuknya cuman 15 rb per orang yah gaess,, menurutku sih binatangnya lengkap semua di sini dan juga  di sini ada banyak menu makanan ringan bahkan ada es krim juga jadi jamin deh kalian gak bakalan kelaparan atau kehausan🤣. Noted : larangannya jangan dilanggar yakk🤣❗❗"
Febe Novita,5 bintang,Tempatnya JAUH LEBIH BERSIH daripada dulu... Tapi tetep aja kayak hewannya sedikit dan kayak kurus2 gitu... Beberapa sudah gak ada hewan di kandangnya... Saran bisa dinaikin sih harganya tp dengn fasilitas lebih baik. Org2 aja rela ke Batu buat lihat secret zoo dng harga yg mahal... Jadi klo dinaikan sedikit asal lebih terawat harusnya ok....
Deby Manalu,5 bintang,"Kebun Binatang Surabaya, sekarang sudah bagus, tapi perlu ditingkatkan lagi. Tempatnya bersih, foodcourtnya banyak pilihan dg harga terjangkau. Toilet bersih, tapi sayang, masih harus berbayar....tiket masuk murah, wajarlah, pengelola kan pemkot Surabaya. Parkir mobil, pintu masuk OK. Sangat terjangkau...keep it up Suroboyooo...bisa jadi tempat wisata edukasi yang murah meriah..."
Adjie Booxien,3 bintang,"Kebun binatang yang rame banget kalo weekend /libur nasional. Jadi kalo pengen jalan2 yg nyaman ya ambil cuti di weekdays buat main2 ke KBS sama keluarga.
Untuk perawatan kebun binatang sudah bagus tp perlu ditingkatkan lagi krn kandang hewan bau banget kotorannya. Tp untuk lingkungan KBS sudah bagus krn banyak pegawai yg urusin sampah-sampahnya.

Saran: tolong untuk ditambahkan beberapa satpam biat keliling di sekitar KBS utk mengingatkan pengunjung yg nekat merokok / membuang sampah sembarangan, krn kawasan kebun binatang harus steril dari asap rokok agar hewan dan pengunjung lain tidak terganggu."
Tata Rizqiyah,5 bintang,"Akhir pekan kesini bersama anak2 tersayang, tempatnya bersih dan banyak peningkatan dr segi bangunan dan tata kelolanya, cukup mengikuti zaman dan memudahkan para pengunjung,... Mari kita support wisata surabaya ini dengan gencar memberikan ulasan terbaik, agar banyak yang ikut mengunjungi dan berpartisipasi melestarikan kbs... Dari pengunjung hewan2 juga karyawan lbh sejahtera... Yuk main ke kbs.. Jangan lupa jaga kebersihan... Jaga tata tertib disana ya.."
Kreview,5 bintang,"Kesini lagi setelah belasan tahun ga kesini dan banyak berubah. Kondisinya lebih bagus tertata apik dan rapih.
Kesini waktu Hari Jumat, dan menurut saya itu waktu yg pas untuk kesini. Karena tidak terlalu ramai namun juga tidak terlalu sepi.
Banyak spot untuk duduk santai. Selain itu kondisi mushola nya cukup ok lah untuk shalat. Tapi kalau kamar mandi saya tidak tau.
Bakal datang kesini lagi? Kalau saya dengan kondisi seperti ini sih insya Allah iya. Bahkan saya sempat kepikiran kesini sendiri untuk pergi membaca buku. Karena tempatnya emang senyaman itu."
Wahyu Bhumisambudhara,5 bintang,"Tiket masuk per orang bulan Januari 2023 15.000
Kondisinya Lebih bagus dari 10 tahun yang lalu. Cuman untuk koleksi binatang air perlu bayar tiket lagi.
Dilarang membawa tikar/koran, pasti disuruh di titipkan di depan.
Untuk makanan & minuman di dalam lokasi harganya 2x lipat daripada di luar KBS."
nourma amalia,5 bintang,"Tempat nya luas, Adem, pastinya ada musola dan kamar mandi (bayar 2k). ada banyak pujasera jadi gak bakal kelaparan. Gak boleh bawa tiker gais. Tiket masuk 15k.  Kalo parkir mobil langsung masuk aja ke kbs nya. Biar gak diparkirin sama calo ( mahal + tempat parkir nya kejauhan)."
The Strangers,4 bintang,"Lama bgt ga kesini,
20than ada kali wkwkwk

Alhamdulillaah skg uda makin cakep, satwanya jg banyak dan seger2
Kmrn karena siang ksnanya
Mereka banyak yg turu

Cm yg disayangkan, karena dibolehinnya bawa makanan dari luar, jadi kotor
Banyak sampah bekas makanan dimana2 dan nasi yg tercecer2"
Rida Rosyida,3 bintang,"Sebenernya udah lebih baik dari tahun2 sebelumnya, cuman menurut saya rute perjalanannya bikin pusing. Seharusnya perjalan diatur mulai dari pintu masuk sampai pintu keluar bener2 urut hingga pengunjung dapat melihat semua satwa. Sayang banget tadi udh keburu keluar padahal belum lihat semua satwanya gara2 salah jalur dan mau balik lagi udh ogah 🙃 semoga bisa diterima masukan saya ya. Terimakasih kbs 🥰 btw gajahnya lucu ini gajahnya lagi nyiramin pengunjung didepannya sambil senyum 😂🤭"
Isti qomah,5 bintang,Luas bgt tempatnya trus yg jual jajanan sama minuman juga banyak jadi jgn takut kelaperan. HTM 15k kalo mau masuk tempat aquarium bayar lagi 20k. Recomended place buat dikunjungin kalo lagi di Surabaya.
eka zendy,2 bintang,"Bagus sih cuma banyak hewannya yang ga keurus dan terutama lagi, UNTUK KONTROLNYA KURANG JADI MASIH BANYAK ORANG YANG MEROKOK DI AREA KBS.

Kasian itu anak² kecil yang disitu dan orang² yang tidak merokok terganggu dengan Anda.

Tolong untuk pemkot surabaya lebih diketatkan lagi lah untuk larangan yang merokok.
TOLONG UNTUK DITINDAK LANJUTI LAH."
M. Isnaeni Rosid,5 bintang,"Wisata edukasi yang cocok untuk mengenalkan kepada anak-anak tentang berbagai macam hewan. Berwisata sambil belajar. Tiket masuk terjangkau. Akses menuju lokasi juga sangat mudah, berada di tengah kota Surabaya."
Shella Rahmawati,5 bintang,"Cocok sekali untuk wisata keluarga terutama anak-anak. Namun sayang banyak hewan yang kurus bahkan sudah nggak ada. Contohnya saat itu Gajah, dulu ada sekarang tidak ada."
Dionisius Yosan Cahyonugroho,4 bintang,"Ke KBS lagi setelah sekian lama,
Untuk parkir ada 2 pilihan di Joyoboyo atau di dalam KBS.
Untuk satwa sendiri banyak, dan area sekitarnya cukup bersih.
Namun untuk masuk ke aquariumnya ditarik biaya yang lebih mahal dari HTM KBS, itu sedikit jadi pertanyaan😅

Oh iya, mungkin sedikit catatan di Zona Aquarium. Di kandang Ular Phyton itu sedikit riskan karena dia ada di sebuah kandang yang diberi semacam penutup besi dengan lubang-lubang (jari bisa masuk). Dan ularnya ini kadang ada di balik tembok dibawah. Berpeluang dipatok kalau lagi apesnya. Mohon dipertimbangkan demi keselamatan bersama.

HTM KBS : 15rb
HTM Aquarium : 30rb
Parkir dalam KBS : 5rb"
ica indasari,4 bintang,"Bagus menurut saya, toiletnya bersih, musholla memadai. Hewan beragam tempat asri dan nyaman. Saya berkunjung dalam rangka outdoor class bersama siswa saya, yang lebih penting lagi harga terjangkau"
Handri Setyanda,3 bintang,"Setelah lebih dari 30th, akhirnya bisa main lg ke KBS. banyak kemajuan, sayangnya tidak berhasil melihat gajah.. perlu kesadaran masyarakat u/ bisa hidup dgn sll menjaga kebersihan, tdk buang sampah sembarangan. MALU lah dgn apa yg kalian perbuat dgn mengotori fasilitas umum."
putri haruniati,5 bintang,"Sudah banyak perbaikan,, skrg lbh nyaman
Banyak makanan murah di dalam
Hewan terawat dgn baik, tdk ada yg mengenaskan seperti dlu"
Rini Ayu,4 bintang,"Untuk area kebun binatangnya bersih dan hewan2nya juga sehat2 serta terawat, saran untuk ortu jika membawa bayi bisa menggunakan stroller agar lebih nyaman saat mengunjungi kebun binatang yang luas."
ismah keren,5 bintang,"Baruuu saja aku datang ke sana sama 2 putri kesayanganku...
Sebenarnya sih bagus kalau ada temennya/rame2 gitu, tp karena td cuman ber3 jd kayak jenuh & gak asik gitu. Tp seru juga kalau kencan sama pacar (yg blm nikah) atau kencan sama suami (yg udah nikah)
Pemandangannya bagus banget loooh 🥰"
Dewi Nindita,5 bintang,"Kebun binatang suroboyo salah satu iconic KOTA SURABAYA, Saiki wes tambah apik, nan indah, instagramable banget dah. Htm per oeg 15 ewu yaa gaes."
Hwemy Helyanto,5 bintang,"Tempat yg cocok utk edukasi anak terhadap binatang.
tempat bersih, hanya bbrp tempat yg memang belum terawat & di fungsikan dgn baik.
semoga makin disukai pengunjung"
dhani k,5 bintang,"Kebun Binatang setelah badai covid makin cakep. Banyak perbaikan sana sini, baik di sistem loket masuk yang pakai QR Code. Juga banyak perbaikan kandang yang banyak kemajuan, meskipun binatangnya ada beberapa yang nggak ada di kandang."
Danang Pramono,4 bintang,"Sudah banyak perbaikan sarana dan prasarana, pelayanan dan kebersihan. Hanya saja memang budaya pengunjung yg suka buang sampah sembarangan. Dan untuk hari libur atau hari ramai pengunjung perlu di tambah petugas di lapangan untuk tempat informasi atau bertanya serta petugas bisa mengingatkan atau menegur pengunjung yang membuang sampah sembarangan...

Best regard untuk pengelolah KBS kebanggaan"
Lie yie,5 bintang,"luas... dan bersih...
tiket masuk 15k weekday dan weekend sama
toiletnya banyak
ada kolam renang anak... dan tidak panas karena banyak pohon2"
Betty Rais,5 bintang,Lumayan bagus tp masih byk yg harus d benai  klo untuk rekreasi klg bagi saya bagus .untk KBS semoga lancar dan makin berkembang 👍🙏🏻 …
Maggie Nur Hamidah,4 bintang,"setelah sekian lama kesini, untuk perawatannya tidak merata, banyak murid sekolah yg study tour kesinii, karena tempatnya ckup edukatif. tapi cukup sedih karena kandang beruang madu kurang terawat, saran saya bisa dibersihkan/diperbarui lagi. karna tadi ada beruang yg terlihat stress juga🥺 ada masjid, toilet, stand snacks. bisa ditingkatkan lagi ya KBS! selalu asik bernostalgia di KBS🥰"
Aisayah ps,5 bintang,"Weekend selalu ramai padat, penuh, termasuk parkiran sudah pasti penuh,, banyak binatang yang bisa dijadikan pembelajaran untuk anak anak dan tempat bagus untuk liburan keluarga dan anak-anak"
Andreas Febri Christian,4 bintang,KBS makin berbenah meskipun masih ada beberapa kandang yang kosong. Tp hewannya sdh lumayan aktif daripada bbrp tahun lalu. Kangen jaman dulu waktu ada dugong nya
Indah Permata Sari,5 bintang,"Karena akhir pekan jadi rame, seru sih liat hewan-hewan. Apalagi anak-anak pada suka, kelihatan seneng. Mantap deh"
Marsa Rica,4 bintang,"Tempat yg baik unt belajar dn bermain anak, cocok buat keluarga dan anak sekolah...pembelajaran baik dialam  banyak binatang...
Tempat luas, adem dn nyaman.."
Elfa Silviana,5 bintang,"Tidak pernah ke surabaya zoo sejak kecil, baru kali kemarin kesana karena bawa ponakan""
Sangat diliar ekspetasi karena ternyata jadi bersih, rindang, nyaman.
Banyak hewan"" nya juga, lumayan lengkap dan hewan""nya terawat"
Ratna Apriliyanti,5 bintang,Nyampai sini jam 7.45 sudah banyak yg antri tiket..mending pakai QRIS aja tidak perlu antri manual..HTM 15 ribu..masuk Aquarium bayar lagi 30ribu
arieza muyasharah,5 bintang,"untuk tiketnya murah karna cuma 15rb per orang
lokasinya dekat dengan hotel yang saya tinggali, jalan kaki 5 menit sudah sampai
tapi sayang cuma menurut saya hewannya kurang lengkap dan petunjuk jalannya kurang memadai
dan kemarin saya kesana hari jum'at gajahnya libur tidak bisa naik gajah/ melihat gajah
banyak tempat makan didalam lokasi wisata jadi ngak perlu takut kelaparan"
Ika's Family Diary,5 bintang,"Makin bagus dan bersih, HTM tetap 15rb/orang mulai TB 85cm sdh bayar ya..
Boleh bawa makanan dan minuman dr luar, asal buang sampah ditempatnya ya gaes.."
Efka Fitriana,5 bintang,"Lokasi strategis dekat perbatasan Surabaya Sidoarjo, area sangat luas, full pepohonan, Jadi meskipun siang2, ngga ngerasain panas sengatan matahari. Tiket masuk cuma 15 RB. Di dalam Banyak sekali tempat duduk yg disediakan, ini penting buat keluarga besar yg berkunjung, khususnya untuk kakek2 dan nenek2 yg mudah capek.
Untuk makanan banyak banget pilihannya. Makan sekitar 25 RB an/org Uda sepaket SM minum. Snack tinggal pilih. 😁🤗"
Hery Soeharto,5 bintang,"Tempat rekreasi dan bersantai serta mengajari anak kecil dengan dunia binatang.
Tempatnya mudah dijangkau
Sayang nya kesadaran pengunjung akan kebersihan sangat kurang sekali"
Arix Setiawan,5 bintang,"Dengan tampilan yang baru di loket sekarang banyak pilihannya y jadi gak perlu antri terlalu panjang,tetapi masih mahal untuk tempat"" spot seperti memberi makan Jerapah..."
Ciska Detrisa,5 bintang,"Udah lama banget gak kesini. Drombak sekarang. Jalanan lebih luas tapi binatang"" Lebih sedikit ya dripda dlu. Kesalahanku juga siang si ksana, jadi pada banyak yg tidur hewannya. Ok sih tapi kalo buat edukasi anak. Murah masuk 15ribu"
asri mulianti,5 bintang,"Sekarang tmbh bgus,sdh ada t4 lesehnx g kyk dulu.hy sj kcwax g bs beli tiket scra ces/tunai hrs pke M-bangking"
Sari cempluxx,5 bintang,"Skrg lebih bersih dan menarik,byk spot"" foto jg.Bagus buat liburan keluarga..tiketnya lumayan terjangkau"
Hisyam Hamank,5 bintang,"Assallammualikum bapak/ibu
READY KARPET MASJID DANMUSHOLLA ROLL

Karpet masjid saat ini menjadi point penting dalam meningkatkan kenyamanan aktivitas ibadah di masjid anda, baik aktifitas shalat berjamaah, mengaji dan kegiatan kajian reguler. Semakin jammaah merasa nyaman di masjid, akan membuat semakin banyak juga jammaah yang hadir di masjid anda.
👌Karpet masjid juga punya beberapa manfaat antara lain :
👍1. Memperindah Interior Masjid
👍2. Memudahkan Jamaah Meluruskan -Shaf
👍3. Membuat Ibadah Lebih Nyaman
👍4. Membuat Jamaah lebih Bersemangat dan Khusyuk Shalat

Wa 0857 9160 5782"
Jujuk Sri Utami (Jujuk Sejuk),4 bintang,"Tiket 15.000 udah bisa keliling sampek kaki capek. Tapi cukup senang , ank juga bisa mengenal macam satwa. Es teh 6000/cup menemani siang dan istirahat. Parkir mobil 10.000. jasa foto 10.000 . Ok lah untuk melepas penat kerja"
irsa misstik,5 bintang,"Adem banget kesini keliling liling kagak capek dahhh , kemarin kesini waktu weekend bayar 15k per orang terus lagi ada campaign yang followe ig nya KBS dapat minuman gratiss"
HEP san,4 bintang,"Sudah beberapa kali berkunjung ke sini bareng temen / pasangan / keluarga. Untuk pembelian tiket bisa menggunakan tunai maupun non tunai. Kalau mau bayar pakai tunai, usahakan pakai jumlah uang yg pas agar tidak ribet.
Terakhir kali saya berkunjung 2 hari yg lalu. Untuk harga tiketnya Rp. 15.000 (di hari biasa).
Suasananya sejuk dan ada bberapa kandang hewan yg masih dalam tahap pembuatan.
Namun sayangnya, hewan-hewan disana kurang begitu lengkap jika dibandingkan yg dulu2. Tapi its okay, cukup memberikan edukasi bagi pengunjung.
Parkirannya lumayan cukup luas juga."
Zarfa Prayoga,5 bintang,"Tempat rekreasi luas sekali, ber edukasi untuk anak-anak, dulu waktu kecil kesini tempat kotor dan bauk, sekarang sudah terawat dan bagus, satwanya juga terawat, ada sungai dan ada perahumya, ada jual sayuran buat mengkasih makanan satwa,untuk disayangkan banyak yang sekali perokok didalam, padahal di dalam banya anak kecil, harusnya ada petugaa yang berkeliling mengingatkan, parkiran sangat luas"
Viela Khausar,4 bintang,"Terakhir kesini 2015 masih tahap pembangunan kandang² satwa, sekarang kebunnya sudah mulai tertata dengan rapi. 😊👍
Nice wisata edukasi anak²..,

Saran untuk wisatawan yg akan berkunjung, jangan lupa pakai Lotion Anti Nyamuk. 😁"
Fathi ZU,4 bintang,"Oke sih, cuma masih kurang bisa explore karena alur perjalanan yg masih muter2, banyak wahana juga yg masih belom dicoba, tapi untuk harga yg murah, worthit dengan fasilitas yg diberikan. Tetap semangat pengelola kbs untuk mengembangkan nya, 👍👍"
Syahrul Arafah,4 bintang,"Parkiran mobil didalam KBS selalu penuh 😭 sedih klo di luar kena tarif 35k
Lebih baik berangkat pagi2 / ngawali"
BAHUD TRAP JUWAN,5 bintang,"Tempat rekreasi yg terjangkau dan menyenangkan. Tidak hanya edukasi mengenai fauna, flora pun tersedia. Bisa untuk tempat jogging, adem tempatnya."
"H. M. Fahrudin Ghozali, Lc",5 bintang,"Makin bagus... Bayar nya non tunai, bisa menggunakan OVO, Gopay, atau aplikasi sejenis...
Petugasnya sangat banyak, sehingga kebersihan sangat dijaga..."
NUR LAILI ISNENI,5 bintang,"Tiket masuknya terjangkau.
Tempatnya luas.
Ada berbagai macam jenis hewan.
Sangat cocok sekali di gunakan sebagai sarana pengenalan hewan kepada anak-anak."
Shinta Viodita Maharani,3 bintang,banyak perubahan meskipun belum sebagus pesaing pesaingnya. petunjuk jalannya pun hampir tidak ada. tapi banyak jajanan menarik untuk dibeli sambil keliling safari.
Ahmad Zaini,5 bintang,Tempat rekreasi murah meriah di Surabaya. Bisa belajar sambil bermain. Syarat masuk tetep harus sudah vaksin. Tiket masuk hanya 15rb/orang. Tempat luas dan rindang. Banyak juga tenant makanan dan minuman. Harganya cukup terjangkau. Recommended pokoknya.
